Season,SRS,SOS,Team_Id
2015,28.72,8.67,1246
2016,20.23,8.84,1246
2017,24.18,9.82,1246
2013,10.14,4.46,1247
2015,-3.37,-3.12,1248
2012,2.41,-3.77,1249
2004,-7.3,-8.88,1250
2010,-3.33,-7.79,1250
2012,4.27,-5.14,1250
2004,-3.12,-4.22,1251
2013,-9.13,-5.8,1251
2007,2.24,-2.07,1253
2012,9.52,0.87,1253
2012,-1.34,-5.1,1254
2011,2.23,-5.77,1254
2013,-3.21,-5.8,1254
2003,16.08,6.83,1261
2005,11.6,7.77,1261
2006,17.54,8.77,1261
2009,11.87,3.27,1261
2015,11.39,5.63,1261
2004,6.24,0.42,1418
2005,5.71,1.91,1418
2014,2.91,-0.28,1418
2003,19.81,6.84,1257
2004,18.6,6.97,1257
2005,22.57,6.18,1257
2007,16.08,7.69,1257
2008,19.0,8.0,1257
2009,20.87,8.41,1257
2010,14.08,7.99,1257
2012,16.19,9.02,1257
2011,18.6,8.2,1257
2013,24.81,9.13,1257
2014,24.69,4.8,1257
2015,18.12,8.98,1257
2017,23.73,12.04,1257
2012,0.37,-2.72,1259
2003,5.78,-1.99,1264
2004,9.29,-1.26,1264
2014,6.04,-0.9,1264
2015,-1.34,-3.34,1264
2003,16.28,7.28,1266
2006,11.33,8.16,1266
2007,14.14,6.95,1266
2008,18.62,8.09,1266
2009,15.06,7.87,1266
2010,15.17,8.23,1266
2012,16.92,7.5,1266
2011,14.89,8.51,1266
2013,14.04,8.58,1266
2017,16.21,8.69,1266
2003,20.56,7.56,1268
2004,16.96,11.68,1268
2007,19.06,7.59,1268
2009,11.1,8.99,1268
2010,17.75,7.95,1268
2015,13.32,7.63,1268
2016,16.71,8.31,1268
2017,13.38,8.38,1268
2008,0.06,-4.53,1420
2014,10.61,6.0,1269
2003,13.23,5.27,1272
2004,13.06,5.96,1272
2006,18.81,4.24,1272
2007,19.72,3.91,1272
2008,23.73,5.76,1272
2009,20.92,4.63,1272
2012,16.86,5.26,1272
2011,6.91,3.14,1272
2013,12.26,2.7,1272
2014,13.02,7.14,1272
2014,5.33,-3.42,1273
2008,12.38,7.13,1274
2013,16.99,7.88,1274
2016,18.52,10.69,1274
2017,15.79,10.1,1274
2007,4.81,2.78,1275
2009,11.9,9.74,1276
2012,13.19,8.98,1276
2011,14.21,10.68,1276
2013,21.28,10.05,1276
2014,18.52,9.65,1276
2016,13.75,7.92,1276
2017,18.81,9.56,1276
2003,16.12,9.72,1277
2004,12.15,8.38,1277
2005,20.47,7.41,1277
2006,12.24,7.27,1277
2007,16.3,8.45,1277
2008,16.32,7.68,1277
2009,17.71,9.37,1277
2010,15.33,8.17,1277
2012,21.32,9.82,1277
